id,name,followers,genres,popularity,related_artists
5mqguTgtaoCMNMZD6txCh6,Phum Viphurit,428069,['bedroom pop'],56,
6UOV42aOSJ5YrbYzLIfLwr,Sun Rai,58338,[],42,
4uz19Fx4VF6BHhzmTuSCOR,Monica Karina,8779,"['indonesian pop', 'indonesian r&b']",37,
5Le7DsHESXGLb12JNKPpnR,Kurosuke,24734,['indonesian indie'],38,
3fy7EyjDaIZ3BNhNOv2jtQ,temp.,37692,['thai indie pop'],32,
6jIK3obS1fJqb3Vu74AYX3,H 3 F,45312,"['chill r&b', 'thai indie pop']",39,
64sY7LsUjNE3ifONkftTXC,ADOY,104396,"['k-indie', 'korean city pop', 'korean dream pop', 'korean electropop', 'korean indie rock']",44,
6bguntfj9ZnX1lFvSYl72d,Numcha,25898,"['chill r&b', 'thai indie pop']",44,
4PSlXQjt2u6ua1YxEsHfsQ,Rocketman,9402,[],38,
03vGezkHp9TYoKOtxZlUj4,Gym and Swim,36071,"['thai indie pop', 'thai indie rock']",32,
0YjEWrRKD9nBJfeF5eLdBd,Plastic Plastic,53114,"['thai indie pop', 'thai pop']",40,
4mr4X9nJC8DPlNukWbgAaI,HYBS,32370,[],54,
42BY4cYu4ZSj37CbSYjDgA,Coldiac,77390,"['indonesian indie', 'indonesian indie pop', 'indonesian pop', 'malang indie']",47,
1BHYRsFqV0ON7RUFM9qF2Q,Telex Telexs,67542,"['thai indie pop', 'thai pop']",34,
0Zoe6ljAJo85rggnN6OaOF,92914,167679,"['chill pop', 'chill r&b', 'korean indie folk']",48,
6x92tfaXHuPBctPxrfTeMY,Mondo Gascaro,58307,"['indonesian folk', 'indonesian indie', 'indonesian jazz', 'indonesian singer-songwriter']",35,
009SHiJ9rvFm3vNwL4SjZx,NYK,10880,['malaysian hip hop'],40,
6i6xQR652uL4FpGmUqZHOC,Lunadira,9087,['malaysian indie'],31,
6gYn1myEM7sARWIoT2AVWG,Ffion,3382,['singaporean pop'],28,
4wkxDp8esk6g2W9Fw7IQGY,Talitha.,11415,"['chill r&b', 'malaysian indie']",42,
5gQJetIU8Kv0bvDgAusFeO,David Soh,2289,"['chill r&b', 'pinoy indie']",27,
6hyHuSf5Ft5jkSCmTg1RNn,Sunday Moon,28320,"['chill r&b', 'k-indie']",34,
31TM5zBknJ7ZInbxnR0rlX,lewloh,11213,"['singaporean pop', 'singaporean singer-songwriter']",38,
5OCCRySomkXZXoE1JQ5Hkb,GARETH FERNANDEZ,2460,['singaporean pop'],30,
4VyJgkmyclZOaiKFmqX9jR,MFMF.,4597,['malay rap'],38,
330A2O2MYF4bWFjwM5PJ4z,Rangga Jones,3442,"['chill r&b', 'singaporean pop']",47,
5Mk3yOBlfweeKamsDiap8H,The Millennial Club,28373,"['chill r&b', 'hopebeat', 'la pop']",46,
4bNOdxc26omK0xR7FPucJn,Albert Posis,32098,"['chill r&b', 'hmong pop']",46,
6hsBCZQ02Rt2PIbXlGtEbA,Phe R.E.D.S,10595,"['chill r&b', 'korean r&b']",37,
1cEcF3RdBDSBjhF5Udcmdb,RUSSELL!,30007,"['asian american hip hop', 'chill r&b']",40,
6b7899n8Uz21dTYrABfFEO,Brian Puspos,20478,"['chill r&b', 'pinoy r&b']",30,
0WU77FbXaPSbcMcrOSJQXc,Adrian Milanio,3723,[],30,
5rYJsXiNw3NxHJfOxtmDuC,Michael Carreon,21124,['chill r&b'],43,
4egd57eyEccqfOkHxoQqAj,Justin Park,59952,['chill r&b'],47,
4wf83MgUJNKr3Th3MYBEOz,Z.Woods,6618,[],22,
0yMMqcIXDemFQUov9gt7TP,Jr Aquino,16691,"['chill r&b', 'hmong pop']",32,
3Qr0AOGNlUjOMXtNUPjVZA,P.Keys,5239,[],22,
38uXw6ZsDmlSwjnFyTGjmX,David So,20420,['chill r&b'],30,
5mqw4f8V3r2PBVKCKAkqiY,John Concepcion,11059,['chill r&b'],44,
44PkBtAQLIQ45IDNop6d78,Jake Hope,19792,"['canadian contemporary r&b', 'trap soul']",35,
7FIqXqYZHMomTAcTXF4UHu,Milky Day,27430,['chill r&b'],51,
2DVQ31vcIoRyOTbuMkOeWW,MIKA - INTERSECTION,6918,['chill r&b'],26,
22N3Z4kBeTk1ikXxHL4Pp5,jaesun,2097,['chill r&b'],27,
5dhseP7KiICmkxT5waM1Md,Jaylon Ashaun,18842,"['chill r&b', 'christian hip hop', 'christian trap']",39,
4RvgBTjECTDRsrvIL5Liip,Farrah,1897,"['chill r&b', 'indie r&b']",24,
40X7tXw4Tk4m5WFDfGJnZe,Sonny Zero,3791,['chill r&b'],43,
11BHuhJ2jEMPNJ3WpwZVT8,OuiOui,56222,"['chill r&b', 'k-indie', 'korean r&b']",42,
4J8BSoVR5I3Am5CxHMkqYj,BEVY MACO,21473,['korean r&b'],30,
76eIrOIqck4yuOhrYZGx3a,oceanfromtheblue,75032,"['chill r&b', 'korean r&b']",46,
2ud13noLktQvM72kgD2CgJ,McKay,21777,"['chill r&b', 'korean r&b']",43,
4UzNlDOUkNSs0Alm2VdKhu,Rheehab,35959,['korean r&b'],34,
3uo7KLyxuiANGmwDocxMnw,Nieah,12902,['korean r&b'],25,
7iWynR4oOvJpSKOAR3zazP,John OFA Rhee,24137,"['chill r&b', 'k-indie', 'korean singer-songwriter']",40,
6psIuXSnGPGKY93Wcj1qeW,FR:EDEN,23183,['korean r&b'],35,
2pZ83NwGQGiWxC3qJSTPBE,mj apanay,10227,['chill r&b'],41,
04GW9HXt9A5aPSNIVBf6m4,Eldon,11153,['chill r&b'],42,
3do4yL5zwMViERQIwA6KYp,Lukey,3946,['chill r&b'],34,
0b7yUYbKbidPYkoLNAN56k,Valentine,1143,"['chill r&b', 'indonesian lo-fi pop']",33,
1EXymL8zEdU5g62GiBfq6D,b/t,421,['chill r&b'],32,
4HUOgASUBk02azKAKwJEYb,Pluto Koi,7910,['chill r&b'],32,
4qaGGZulMdVRK7uDgGAaNq,Sweet The Kid,13367,"['chill r&b', 'korean r&b']",44,
1lyH1uo6D5uUqQ410sFZHn,mei quinn,1360,['chill r&b'],24,
